Rank;Player;Age;Nation;Position;Squad;Competition;Match_played;Minutes_played;Goals_Scored;Assist;Goals_Excluding_Penalties;Red_Cards;Goals_per_90min;Assist_per_90min;Goals&Assist_per_90min;Goals_excluding_penalties_90min
1723;Tomás Mendes;18;es ESP;MF;Alavés;es La Liga;1;6;0;0;0;0;0.00;0.00;0.00;0.00
1995;Eneko Ortiz;20;es ESP;DF;Alavés;es La Liga;1;14;0;0;0;0;0.00;0.00;0.00;0.00
2277;Unai Ropero;21;es ESP;MF;Alavés;es La Liga;1;5;0;0;0;0;0.00;0.00;0.00;0.00
1307;Jon Karrikaburu;20;es ESP;MF,FW;Alavés;es La Liga;2;16;0;0;0;0;0.00;0.00;0.00;0.00
2038;Victor Parada;21;es ESP;FW,MF;Alavés;es La Liga;2;3;0;0;0;0;0.00;0.00;0.00;0.00
2537;Mamadou Sylla;29;sn SEN;FW,MF;Alavés;es La Liga;2;18;0;0;0;0;0.00;0.00;0.00;0.00
1747;Miguel;23;es ESP;FW,MF;Alavés;es La Liga;3;65;0;0;0;0;0.00;0.00;0.00;0.00
2011;Jesús Owono;22;gq EQG;GK;Alavés;es La Liga;4;360;0;0;0;0;0.00;0.00;0.00;0.00
2030;Joaquín Panichelli;20;ar ARG;FW,MF;Alavés;es La Liga;8;226;0;0;0;0;0.00;0.00;0.00;0.00
2789;Xeber;26;es ESP;FW,MF;Alavés;es La Liga;10;302;0;0;0;0;0.00;0.00;0.00;0.00
2400;Aleksandar Sedlar;31;rs SRB;DF;Alavés;es La Liga;11;946;1;0;1;0;0.10;0.00;0.10;0.10
2437;Giuliano Simeone;20;ar ARG;FW;Alavés;es La Liga;14;630;1;2;1;0;0.14;0.29;0.43;0.14
2697;Carlos Vicente;24;es ESP;FW;Alavés;es La Liga;18;1114;2;4;2;0;0.16;0.32;0.48;0.16
1088;Ianis Hagi;24;ro ROU;MF,FW;Alavés;es La Liga;22;804;0;2;0;0;0.00;0.22;0.22;0.00
2205;Abderrahman Rebbach;24;dz ALG;FW,MF;Alavés;es La Liga;23;722;1;0;1;0;0.12;0.00;0.12;0.12
2568;Nahuel Tenaglia;27;ar ARG;DF;Alavés;es La Liga;25;1141;1;0;1;0;0.08;0.00;0.08;0.08
12;Abdel Abqar;24;ma MAR;DF;Alavés;es La Liga;27;2312;0;0;0;0;0.00;0.00;0.00;0.00
776;Rubén Duarte;27;es ESP;DF;Alavés;es La Liga;28;1878;2;1;2;0;0.10;0.05;0.14;0.10
275;Carlos Benavídez;25;uy URU;MF;Alavés;es La Liga;29;1136;3;1;3;0;0.24;0.08;0.32;0.24
2468;Alex Sola;24;es ESP;FW,MF;Alavés;es La Liga;29;1262;0;3;0;0;0.00;0.21;0.21;0.00
2469;Alex Sola;24;es ESP;DF,MF;Real Sociedad;es La Liga;2;30;0;0;0;0;0.00;0.00;0.00;0.00
1510;Javi López;21;es ESP;DF;Alavés;es La Liga;32;2386;1;3;1;0;0.04;0.11;0.15;0.04
317;Antonio Blanco;23;es ESP;MF;Alavés;es La Liga;33;2426;0;1;0;1;0.00;0.04;0.04;0.00
1336;Kiké;33;es ESP;FW,MF;Alavés;es La Liga;33;1423;3;2;3;0;0.19;0.13;0.32;0.19
1620;Rafa Marín;21;es ESP;DF;Alavés;es La Liga;33;2443;0;0;0;0;0.00;0.00;0.00;0.00
1973;Samuel Omorodion;19;es ESP;FW;Alavés;es La Liga;34;1918;8;1;8;0;0.38;0.05;0.42;0.38
1974;Samuel Omorodion;19;es ESP;FW;Granada;es La Liga;1;80;1;0;1;0;1.13;0.00;1.13;1.13
